gene,cytoband,CNA,num,freq
OR2L13,1q44,AMP,816,14.1%
OR13G1,1q44,AMP,816,14.1%
PPP5D1P,19q13.32,HOMDEL,816,0.1%
CDKN2A,9p21.3,HOMDEL,816,3.3%
VPS26B,11q25,HOMDEL,816,2.0%
KAT5,11q13.1,HOMDEL,816,0.2%
SYDE1,19p13.12,AMP,816,2.7%
MALAT1,11q13.1,HOMDEL,816,0.2%
MAP1LC3C,1q43,AMP,816,13.6%
OR2T11,1q44,AMP,816,14.1%
GGACT,13q32.3,AMP,816,2.3%
CREBL2,12p13.1,HOMDEL,816,0.6%
P4HTM,3p21.31,HOMDEL,816,0.5%
DDX51,12q24.33,HOMDEL,816,0.6%
GRIFIN,7p22.3,HOMDEL,816,0.5%
APBA2,15q13.1,HOMDEL,816,2.3%
RBM7,11q23.1-q23.2,HOMDEL,816,1.5%
FH,1q43,AMP,816,13.7%
HNF1A,12q24.31,HOMDEL,816,0.1%
LINC00939,12q24.32,HOMDEL,816,0.5%
LHX3,9q34.3,HOMDEL,816,0.5%
ZBTB17,1p36.13,HOMDEL,816,0.7%
ENTPD5,14q24.3,HOMDEL,816,0.2%
TPP2,13q33.1,AMP,816,2.2%
ZNF140,12q24.33,HOMDEL,816,0.5%
DNAJC3,13q32.1,AMP,816,2.1%
CFAP276,1p13.3,HOMDEL,816,0.2%
TEX56P,6p25.2,HOMDEL,816,1.0%
NCS1,9q34.11,HOMDEL,816,0.5%
TARS2,1q21.2,AMP,816,14.8%
CCDC200,17q21.31,HOMDEL,816,0.5%
PTEN,10q23.31,HOMDEL,816,5.1%
CEP72,5p15.33,AMP,816,2.7%
TRIM58,1q44,AMP,816,14.1%
CDCA5,11q13.1,HOMDEL,816,0.2%
G6PC3,17q21.31,HOMDEL,816,0.5%
ZNF639,3q26.33,AMP,816,5.1%
KANSL1,17q21.31,HOMDEL,816,0.5%
GOLGA8J,15q13.2,HOMDEL,816,2.3%
FIBCD1,9q34.12,HOMDEL,816,0.2%
WDR64,1q43,AMP,816,13.8%
CROCCP2,1p36.13,HOMDEL,816,0.6%
SNORD22,11q13,AMP,816,2.1%
DALRD3,3p21.31,HOMDEL,816,0.5%
PRAMEF5,1p36.21,HOMDEL,816,0.6%
NAGS,17q21.31,HOMDEL,816,0.5%
GPATCH2L,14q24.3,HOMDEL,816,0.1%
CHMP1A,16q24.3,HOMDEL,816,2.2%
OXGR1,13q32.1,AMP,816,2.5%
CD300LG,17q21.31,HOMDEL,816,0.5%
KNTC1,12q24.31,HOMDEL,816,0.1%
PGM5,9q21.11,HOMDEL,816,1.1%
ZNHIT6,1p22.3,HOMDEL,816,0.1%
CNR1,6q15,HOMDEL,816,0.2%
SLC22A12,11q13.1,HOMDEL,816,0.1%
NR2C2,3p25.1,AMP,816,2.5%
GOLGA8H,15q13.2,HOMDEL,816,2.3%
UNC93A,6q27,HOMDEL,816,1.3%
LINC00857,10q22.3,AMP,816,2.7%
IGF1R,15q26.3,AMP,816,4.7%
ENSA,1q21.3,AMP,816,15.2%
RPS6KL1,14q24.2,HOMDEL,816,0.2%
PLCB3,11q13.1,HOMDEL,816,0.1%
PRP4K,6p25.2,HOMDEL,816,1.0%
GMPPB,3p21.31,HOMDEL,816,0.6%
KIF17,1p36.12,HOMDEL,816,0.5%
DDX55,12q24.31,HOMDEL,816,0.2%
PPP1R12C,19q13.42,AMP,816,2.6%
ALDH4A1,1p36.13,HOMDEL,816,0.5%
RNF34,12q24.31,HOMDEL,816,0.1%
KDM2B,12q24.31,HOMDEL,816,0.1%
CAMSAP1,9q34.3,HOMDEL,816,0.5%
VTI1B,14q24.1,HOMDEL,816,0.2%
TRIP13,5p15.33,AMP,816,2.7%
PLEKHG4B,5p15.33,AMP,816,2.7%
SLC6A17,1p13.3,HOMDEL,816,0.2%
PPP1R26,9q34.3,HOMDEL,816,0.5%
OR2M5,1q44,AMP,816,14.1%
SNORD44,1q25.1,AMP,816,2.5%
FGD5,3p25.1,AMP,816,2.5%
PGM3,6q14.1,HOMDEL,816,0.4%
PRAMEF19,1p36.21,HOMDEL,816,0.6%
SETD1B,12q24.31,HOMDEL,816,0.2%
UBXN10,1p36.12,HOMDEL,816,0.5%
DIO2,14q31.1,HOMDEL,816,0.2%
ADAMTSL4,1q21.2,AMP,816,15.2%
RANBP9,6p23,AMP,816,2.7%
IDUA,4p16.3,HOMDEL,816,0.9%
FKRP,19q13.32,HOMDEL,816,0.1%
ARHGAP27,17q21.31,HOMDEL,816,0.6%
RTCA,1p21.2,HOMDEL,816,0.1%
PFKFB4,3p21.31,HOMDEL,816,0.5%
GPBP1,5q11.2,HOMDEL,816,1.5%
REXO1,19p13.3,HOMDEL,816,1.0%
OR2M3,1q44,AMP,816,14.1%
IRX4,5p15.33,AMP,816,2.3%
ARRDC1-AS1,9q34.3,HOMDEL,816,0.6%
RAD52,12p13.33,AMP,816,4.2%
TRAPPC11,4q35.1,HOMDEL,816,1.7%
POU2AF1,11q23.1,HOMDEL,816,1.6%
GTF2A1,14q31.1,HOMDEL,816,0.1%
TIMM8B,11q23.1,HOMDEL,816,1.6%
OR2T34,1q44,AMP,816,14.1%
OR2T10,1q44,AMP,816,14.1%
PAX7,1p36.13,HOMDEL,816,0.5%
TRAF2,9q34.3,HOMDEL,816,0.5%
SIRT3,11p15.5,HOMDEL,816,0.9%
OR14A16,1q44,AMP,816,14.1%
CIT,12q24.23,HOMDEL,816,0.2%
GOLGA8T,15q13.2,HOMDEL,816,2.3%
OR2T12,1q44,AMP,816,14.1%
DCAKD,17q21.31,HOMDEL,816,0.7%
OR14C36,1q44,AMP,816,14.1%
TUBD1,17q23.1,AMP,816,10.9%
ZSCAN4,19q13.43,AMP,816,2.5%
ZNF10,12q24.33,HOMDEL,816,0.5%
SLC6A19,5p15.33,AMP,816,2.7%
TUBB2A,6p25.2,HOMDEL,816,1.0%
CAMKK2,12q24.31,HOMDEL,816,0.1%
AADACL4,1p36.21,HOMDEL,816,0.5%
GLB1L2,11q25,HOMDEL,816,2.0%
